Thread   Start(us)  B/E     Dur(us)  Name/Detail
------  ----------  ---  ----------  ------------------------------
 40346    38667355  BEG        5495  AnnotateKernels
 40346    38672850  END        5495  AnnotateKernels
 40346    38672855  BEG        1427  VerifyKernels
 40346    38674282  END        1427  VerifyKernels
 40346    38674285  BEG       10566  LowerSemanticCF
 40346    38684852  END       10566  LowerSemanticCF
 40346    38684857  BEG      208675  CheckLifetimes
 40346    38689642  BEG          38  (A) SymbolTableAnalysis
 40346    38689680  END          38  (A) SymbolTableAnalysis
 40346    38893532  END      208675  CheckLifetimes
 40346    49872745  BEG        4972  AnnotateKernels
 40346    49877717  END        4972  AnnotateKernels
 40346    49877723  BEG        1583  VerifyKernels
 40346    49879307  END        1583  VerifyKernels
 40346    49879312  BEG        8360  LowerSemanticCF
 40346    49887673  END        8360  LowerSemanticCF
 40346    49887677  BEG      107015  CheckLifetimes
 40346    49891704  BEG          15  (A) SymbolTableAnalysis
 40346    49891720  END          15  (A) SymbolTableAnalysis
 40346    49994693  END      107015  CheckLifetimes
 40346    53605817  BEG        4356  AnnotateKernels
 40346    53610173  END        4356  AnnotateKernels
 40346    53610178  BEG        1306  VerifyKernels
 40346    53611485  END        1306  VerifyKernels
 40346    53611489  BEG        7196  LowerSemanticCF
 40346    53618685  END        7196  LowerSemanticCF
 40346    53618690  BEG      129422  CheckLifetimes
 40346    53622241  BEG          21  (A) SymbolTableAnalysis
 40346    53622262  END          21  (A) SymbolTableAnalysis
 40346    53748113  END      129422  CheckLifetimes
 40346    59772215  BEG        6134  AnnotateKernels
 40346    59778350  END        6134  AnnotateKernels
 40346    59778356  BEG        1577  VerifyKernels
 40346    59779933  END        1577  VerifyKernels
 40346    59779938  BEG       12096  LowerSemanticCF
 40346    59792034  END       12096  LowerSemanticCF
 40346    59792038  BEG      145817  CheckLifetimes
 40346    59797691  BEG          31  (A) SymbolTableAnalysis
 40346    59797723  END          31  (A) SymbolTableAnalysis
 40346    59937856  END      145817  CheckLifetimes
 40346    65544520  BEG        4683  AnnotateKernels
 40346    65549204  END        4683  AnnotateKernels
 40346    65549211  BEG        1580  VerifyKernels
